"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-93.4375","43.8680992126465","386","-19.329","-25.746","0.1527785568","4.59897211270825","0.783536063421668","7.64566776",
"1/2/1979","-93.4375","43.8680992126465","386","-21.318","-26.79","0.222301368","4.34520136173567","0.772765325492756","7.79045688",
"1/3/1979","-93.4375","43.8680992126465","386","-16.229","-23.103","0.4085543664","5.83178394688988","0.811137144194754","7.6276692",
"1/4/1979","-93.4375","43.8680992126465","386","-19.428","-25.923","0.1150131168","4.51615243975761","0.780154717882904","8.22324456",
"1/5/1979","-93.4375","43.8680992126465","386","-22.304","-28.421","0.0205993584","4.08881965644796","0.768056409644633","8.6888268",
"1/6/1979","-93.4375","43.8680992126465","386","-13.897","-21.477","0.3913879032","4.96276617074708","0.847224913983677","7.42933548",
"1/7/1979","-93.4375","43.8680992126465","386","-17.097","-23.265","0.2454758208","3.90441247473842","0.814649241099681","7.8065982",
"1/8/1979","-93.4375","43.8680992126465","386","-9.31200000000001","-25.717","0.4858015824","5.29485999219852","0.840561768515818","7.91459676",
"1/9/1979","-93.4375","43.8680992126465","386","-9.26900000000001","-23.451","0.4034042568","4.59772728766639","0.828838215934362","8.57914128",
"1/10/1979","-93.4375","43.8680992126465","386","-20.919","-36.243","0.017166132","2.70643198337357","0.75985833178789","9.0303768",
"1/11/1979","-93.4375","43.8680992126465","386","-15.192","-33.503","2.9731732704","4.49569042777085","0.814564309694886","4.8735018",
"1/12/1979","-93.4375","43.8680992126465","386","-12.104","-16.103","3.7190475","3.33206442887744","0.884424219340341","5.91075",
"1/13/1979","-93.4375","43.8680992126465","386","-16.192","-24.522","2.90794266","7.08976778267048","0.837167565137916","6.7919076",
"1/14/1979","-93.4375","43.8680992126465","386","-24.058","-28.405","0.102996828","5.56385453980294","0.759292449709737","9.082746",
"1/15/1979","-93.4375","43.8680992126465","386","-15.587","-27.005","2.3809428504","2.66600020518809","0.802078716990849","4.89346632",
"1/16/1979","-93.4375","43.8680992126465","386","-13.051","-24.857","0.7381440144","3.59474498779875","0.837376238573418","5.97847563",
"1/17/1979","-93.4375","43.8680992126465","386","-12.541","-21.375","0.32272326","4.06704463602475","0.872811010052063","9.28574964",
"1/18/1979","-93.4375","43.8680992126465","386","-10.719","-20.932","1.081467792","4.49123732806028","0.88134344531828","8.39345751",
"1/19/1979","-93.4375","43.8680992126465","386","-5.53899999999999","-10.342","13.889124108","4.23141581729398","0.954509017522622","3.99273804",
"1/20/1979","-93.4375","43.8680992126465","386","-6.12599999999998","-7.62900000000002","1.678848336","3.5394665111273","0.957514870052535","6.16376088",
"1/21/1979","-93.4375","43.8680992126465","386","-6.618","-10.063","1.255701924","5.02336979318948","0.945967462862004","7.22975256",
"1/22/1979","-93.4375","43.8680992126465","386","-5.18099999999998","-20.369","5.1120749304","3.58948180330519","0.938716872439907","4.45348368",
"1/23/1979","-93.4375","43.8680992126465","386","-6.69400000000002","-19.489","4.657174236","6.90298225255139","0.908517583438996","6.75399456",
"1/24/1979","-93.4375","43.8680992126465","386","-17.067","-26.764","0.0635147424","4.27927606546253","0.811900374230948","10.62219195",
"1/25/1979","-93.4375","43.8680992126465","386","-8.52199999999999","-28.804","0","2.44419696698241","0.839440859911249","9.6085179",
"1/26/1979","-93.4375","43.8680992126465","386","-6.452","-9.19499999999999","2.7088171488","3.05982959786104","0.935887061041112","5.65976529",
"1/27/1979","-93.4375","43.8680992126465","386","-5.73200000000003","-7.73599999999999","6.2656416","4.55708214587257","0.957051880361912","5.78227185",
"1/28/1979","-93.4375","43.8680992126465","386","-7.25700000000001","-13.259","2.0874024","5.27679081788155","0.932509445195793","7.86234006",
"1/29/1979","-93.4375","43.8680992126465","386","-13.636","-18.841","0.359630676","3.78680686411017","0.870725413548914","9.87446322",
"1/30/1979","-93.4375","43.8680992126465","386","-14.881","-19.99","0.419712192","3.47142803102389","0.851600239274757","8.753569272",
"1/31/1979","-93.4375","43.8680992126465","386","-18.096","-24.253","0.2180100672","3.73560840946598","0.817680865270381","10.897931232",
"2/1/1979","-93.4375","43.8680992126465","386","-13.303","-35.086","0.8377072848","2.35416988389889","0.826465877932399","9.42620166",
"2/2/1979","-93.4375","43.8680992126465","386","-11.339","-19.009","2.015304768","2.53130418309542","0.890797883585969","9.876210552",
"2/3/1979","-93.4375","43.8680992126465","386","-13.031","-31.061","0.3931047288","4.37948451432988","0.826510148963137","11.0746674",
"2/4/1979","-93.4375","43.8680992126465","386","-23.305","-30.237","0.1012802472","5.15513836682763","0.758448108012656","12.0248451",
"2/5/1979","-93.4375","43.8680992126465","386","-11.123","-32.246","0.4197121704","5.11919306753157","0.801565397184323","11.343147048",
"2/6/1979","-93.4375","43.8680992126465","386","-3.39800000000002","-21.44","2.2315976856","6.20954703332821","0.910982958060579","9.087189192",
"2/7/1979","-93.4375","43.8680992126465","386","-19.988","-28.985","0.0892639152","3.28768992542142","0.782087530200439","12.233476008",
"2/8/1979","-93.4375","43.8680992126465","386","-20.126","-31.915","0.2265930648","3.38324254437197","0.77979212293871","12.612885192",
"2/9/1979","-93.4375","43.8680992126465","386","-17.681","-30.526","0.0240325848","2.15252641317397","0.78120835098723","12.59240976",
"2/10/1979","-93.4375","43.8680992126465","386","-14.181","-19.736","1.9809725976","4.28125269828768","0.840732569938274","7.75103076",
"2/11/1979","-93.4375","43.8680992126465","386","-9.101","-14.937","4.523279184","2.83471498359046","0.910507841435796","10.03747608",
"2/12/1979","-93.4375","43.8680992126465","386","-12.268","-16.566","0.8171082","2.49051538428209","0.887203292888758","12.27666708",
"2/13/1979","-93.4375","43.8680992126465","386","-6.52199999999999","-13.41","1.466846892","3.22778550527416","0.926356179502007","10.668601872",
"2/14/1979","-93.4375","43.8680992126465","386","-0.620000000000005","-6.87400000000002","0.95357898","3.20995649663098","0.968981736718531","8.3039661",
"2/15/1979","-93.4375","43.8680992126465","386","-2.92500000000001","-22.215","2.521705644","6.55175885058867","0.91995239195875","8.8690518",
"2/16/1979","-93.4375","43.8680992126465","386","-22.868","-26.741","0.1201629888","4.85577795202","0.771777753091473","13.8527964",
"2/17/1979","-93.4375","43.8680992126465","386","-15.195","-26.693","0.2214432144","5.00543131912628","0.819352011213093","12.67891812",
"2/18/1979","-93.4375","43.8680992126465","386","-13.297","-18.721","1.936340568","3.53664828897781","0.860593339570671","13.05939834",
"2/19/1979","-93.4375","43.8680992126465","386","0.574000000000012","-17.381","1.0505675088","6.41052669425645","0.934476817262159","11.81255652",
"2/20/1979","-93.4375","43.8680992126465","386","0.548000000000002","-0.446000000000026","4.1662224","4.22325312554274","0.989091965956523","6.04062432",
"2/21/1979","-93.4375","43.8680992126465","386","-0.170999999999992","-10.22","1.539802116","4.98052583237453","0.962769661759793","11.01903786",
"2/22/1979","-93.4375","43.8680992126465","386","0.786999999999978","-8.49400000000003","5.788426284","6.45160743667817","0.975091220488208","3.40121664",
"2/23/1979","-93.4375","43.8680992126465","386","0.637","-12.956","1.538086932","6.62893063832947","0.95656391471698","11.11404168",
"2/24/1979","-93.4375","43.8680992126465","386","-8.97000000000003","-15.811","0.494384904","3.39445716254649","0.911311586635346","13.29338916",
"2/25/1979","-93.4375","43.8680992126465","386","-8.68000000000001","-22.266","0.121879548","2.23360820678577","0.876528909993357","15.79083948",
"2/26/1979","-93.4375","43.8680992126465","386","-3.66300000000001","-12.844","0","4.11230960292166","0.893495258860555","15.943554",
"2/27/1979","-93.4375","43.8680992126465","386","-1.69900000000001","-6.71100000000001","0","4.41962017967089","0.942245449084754","13.8808692",
"2/28/1979","-93.4375","43.8680992126465","386","-0.759000000000015","-10.075","0.1956939552","1.95067536420958","0.970829332533539","13.33046988",
"3/1/1979","-93.4375","43.8680992126465","386","-0.63900000000001","-4.72699999999998","0.720977796","2.76631639939727","0.972107219598778","10.7997732",
"3/2/1979","-93.4375","43.8680992126465","386","0.52800000000002","-2.47899999999999","4.36020012","6.5928335902698","0.983975540768528","6.5682558",
"3/3/1979","-93.4375","43.8680992126465","386","0.298999999999978","-1.56700000000001","22.00356036","5.41314379810582","0.982209722944073","4.77061542",
"3/4/1979","-93.4375","43.8680992126465","386","-2.04899999999998","-4.78899999999999","14.41611504","6.89460363959222","0.967457377795661","6.52634496",
"3/5/1979","-93.4375","43.8680992126465","386","-3.46800000000002","-12.828","0.333023004","3.62807540654986","0.931207758943062","17.31369177",
"3/6/1979","-93.4375","43.8680992126465","386","0.507000000000005","-9.19","5.2253734248","4.59754890587329","0.980226583541419","6.01824303",
"3/7/1979","-93.4375","43.8680992126465","386","-0.125","-7.56400000000002","2.648735604","5.8226971510648","0.963962332749781","13.28624685",
"3/8/1979","-93.4375","43.8680992126465","386","-2.11500000000001","-10.591","2.264215608","2.44732994805411","0.968615045663238","11.33415711",
"3/9/1979","-93.4375","43.8680992126465","386","-0.666999999999973","-16.322","0.97503714","5.15115021135971","0.931795453653135","15.83830818",
"3/10/1979","-93.4375","43.8680992126465","386","-15.799","-19.901","0.468635868","5.66421477709796","0.834698147385792","17.20473957",
"3/11/1979","-93.4375","43.8680992126465","386","0.110000000000014","-18.542","0.7724759904","4.40482110663407","0.944711703516751","11.39658552",
"3/12/1979","-93.4375","43.8680992126465","386","0.944000000000017","-5.31799999999998","0.9990687456","4.47239645024845","0.981765275766949","12.460218102",
"3/13/1979","-93.4375","43.8680992126465","386","0.987000000000023","-8.07999999999998","3.22036848","6.88459391994872","0.978822542522293","10.49501547",
"3/14/1979","-93.4375","43.8680992126465","386","-2.27699999999999","-17.942","1.5552517968","6.530581567005","0.914495419749293","16.920789678",
"3/15/1979","-93.4375","43.8680992126465","386","-6.053","-23.094","0","3.30893469283794","0.868707369795431","19.702408662",
"3/16/1979","-93.4375","43.8680992126465","386","1.29199999999997","-5.596","0.2557755864","6.11036530642046","0.969450439602434","18.510410286",
"3/17/1979","-93.4375","43.8680992126465","386","1.52199999999999","0.581000000000017","2.780914176","6.1743102384061","0.997434544108608","6.115949172",
"3/18/1979","-93.4375","43.8680992126465","386","2.58999999999998","1.39299999999997","26.57485872","5.67867578673412","0.997378983041806","4.62194559",
"3/19/1979","-93.4375","43.8680992126465","386","2.52300000000002","0.399000000000001","5.338668204","5.14209651763005","0.996477560883756","9.324450612",
"3/20/1979","-93.4375","43.8680992126465","386","0.466999999999985","-0.930000000000007","0.8188248024","3.47941453160212","0.99067698647124","11.690321526",
"3/21/1979","-93.4375","43.8680992126465","386","0.942000000000007","-0.908000000000015","1.023101568","2.34030856526108","0.99596839572127","10.572186528",
"3/22/1979","-93.4375","43.8680992126465","386","1.20800000000003","0.367000000000019","4.020308424","4.35408526875474","0.998028370540121","4.92738516",
"3/23/1979","-93.4375","43.8680992126465","386","0.468999999999994","-4.80500000000001","30.02014728","9.51512871572205","0.983824249767604","4.68056664",
"3/24/1979","-93.4375","43.8680992126465","386","-5.48899999999998","-8.73500000000001","2.01187134","8.29130801600381","0.949721891262052","18.194683968",
"3/25/1979","-93.4375","43.8680992126465","386","-4.82999999999998","-16.382","0.5218505928","2.94339176499827","0.938544429625278","19.1576754",
"3/26/1979","-93.4375","43.8680992126465","386","-5.59300000000002","-10.117","0.751876884","3.64693907963306","0.952827435871895","17.84019618",
"3/27/1979","-93.4375","43.8680992126465","386","-0.583000000000027","-14.919","0.2368927296","3.70204421858699","0.956180538393458","19.909633752",
"3/28/1979","-93.4375","43.8680992126465","386","1.21699999999998","-1.81299999999999","3.12080292","5.57897903566303","0.992762626216386","5.075886888",
"3/29/1979","-93.4375","43.8680992126465","386","1.27499999999998","-1.47000000000003","16.7524378416","4.85121442160431","0.992424329608976","3.88248984",
"3/30/1979","-93.4375","43.8680992126465","386","2.53399999999999","0.0389999999999873","6.74972352","5.02309399415861","0.992410807501586","6.785550972",
"3/31/1979","-93.4375","43.8680992126465","386","0.404999999999973","-2.00999999999999","1.229096052","2.69569376402005","0.987072416510295","15.120335484",
"4/1/1979","-93.4375","43.8680992126465","386","0.149000000000001","-1.36200000000002","6.4750662","2.74630799312077","0.981976964732532","10.25831268",
"4/2/1979","-93.4375","43.8680992126465","386","-0.382000000000005","-3.048","7.08962076","4.61058227633496","0.982767234624036","12.020515524",
"4/3/1979","-93.4375","43.8680992126465","386","-0.526999999999987","-13.866","0.199127088","2.36525784585839","0.962654909983559","22.68039024",
"4/4/1979","-93.4375","43.8680992126465","386","0.211000000000013","-8.97199999999998","0.49781808","2.35243781063497","0.970328633290446","13.27055058",
"4/5/1979","-93.4375","43.8680992126465","386","-0.0659999999999741","-13.511","2.3620574664","6.42452844460683","0.943522243133333","13.565982492",
"4/6/1979","-93.4375","43.8680992126465","386","-7.642","-18.554","0.1905441624","2.99028599127928","0.906762584412315","23.180458788",
"4/7/1979","-93.4375","43.8680992126465","386","0.603999999999985","-6.86000000000001","2.169800244","5.53762002074158","0.963986405513771","6.319579032",
